,index,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_NAME_home_x,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_NAME_away_x,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
0,15,2013-10-08,11300021,1610612755,1610612760,2013,76ers,99.0,0.41,0.613,0.4,25.0,42.0,Thunder,103.0,0.435,0.81,0.222,30.0,51.0,0,1460,1639,1456.1630818182716,1642.8369181817284
1,28,2013-10-11,11300033,1610612755,1610612738,2013,76ers,97.0,0.494,0.593,0.313,23.0,54.0,Celtics,85.0,0.36,0.7829999999999999,0.238,21.0,43.0,1,1456.1630818182716,1470.761942251613,1466.108204566232,1460.8168195036526
2,39,2013-10-14,11300047,1610612755,1610612751,2013,76ers,97.0,0.3929999999999999,0.657,0.32,22.0,31.0,Nets,127.0,0.539,0.708,0.519,34.0,54.0,0,1466.108204566232,1534.7303001068726,1445.3585115225676,1555.479993150537
3,92,2013-10-23,11300095,1610612755,1610612750,2013,76ers,102.0,0.35,0.7140000000000001,0.241,21.0,56.0,Timberwolves,125.0,0.436,0.737,0.517,26.0,59.0,0,1413.5701579122494,1492.858199386116,1397.0825403830793,1509.3458169152862
4,122,2013-10-30,21300005,1610612755,1610612748,2013,76ers,114.0,0.5379999999999999,0.833,0.381,24.0,40.0,Heat,110.0,0.494,0.769,0.4,30.0,31.0,1,1397.0825403830793,1650.487617000966,1408.8698928314677,1638.7002645525777
5,141,2013-11-02,21300034,1610612755,1610612741,2013,76ers,101.8,0.43699999999999994,0.682,0.331,23.0,44.6,Bulls,104.0,0.452,0.895,0.214,28.0,51.0,1,1420.6351667885863,1585.1235275287536,1428.7990310376545,1576.9596632796854
6,155,2013-11-04,21300048,1610612755,1610612744,2013,76ers,103.4,0.4526,0.6927999999999999,0.351,22.8,44.0,Warriors,95.6,0.4218,0.6908000000000001,0.378,22.0,41.8,0,1428.7990310376545,1565.1055741988541,1416.8553077050851,1577.0492975314235
7,171,2013-11-06,21300063,1610612755,1610612764,2013,76ers,102.0,0.4241999999999999,0.6985999999999999,0.32839999999999997,22.0,43.6,Wizards,96.2,0.43740000000000007,0.6585999999999999,0.38099999999999995,23.0,41.6,0,1416.8553077050851,1447.182155820405,1402.9062920445165,1461.1311714809735
8,181,2013-11-08,21300076,1610612755,1610612739,2013,76ers,103.0,0.4395999999999999,0.7056000000000001,0.33099999999999996,22.8,47.4,Cavaliers,92.8,0.398,0.7964,0.3146,16.8,40.4,1,1402.9062920445165,1359.888083036621,1411.8650384906948,1350.9293365904427
9,207,2013-11-11,21300100,1610612755,1610612759,2013,76ers,101.4,0.4648,0.7184,0.3494,23.6,45.6,Spurs,102.8,0.4638,0.8064,0.375,23.4,43.0,0,1406.9034348896405,1640.9328042380077,1398.154469318628,1649.6817698090204
